title,desc,date,datetime,link,img,media,site,log_date
Telling children about war,,21 hours ago,2023-10-17 14:38:24.125939,news.google.com/./articles/CBMiQ2h0dHBzOi8vd3d3LmVsaXphYmV0aHRvbi5jb20vMjAyMy8xMC8xNy90ZWxsaW5nLWNoaWxkcmVuLWFib3V0LXdhci_SAQA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.elizabethton.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Elizabethton.com,,2023-10-18 11:38:21.826057
Tensions surge at US universities as students rally over Israel-Hamas war,,21 hours ago,2023-10-17 14:38:24.119941,news.google.com/./articles/CBMic2h0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy8yMDIzLzEwLzE3L3RlbnNpb25zLXN1cmdlLWF0LXVzLXVuaXZlcnNpdGllcy1hcy1zdHVkZW50cy1yYWxseS1vdmVyLWlzcmFlbC1oYW1hcy13YXLSAXdodHRwczovL3d3dy5hbGphemVlcmEuY29tL2FtcC9uZXdzLzIwMjMvMTAvMTcvdGVuc2lvbnMtc3VyZ2UtYXQtdXMtdW5pdmVyc2l0aWVzLWFzLXN0dWRlbnRzLXJhbGx5LW92ZXItaXNyYWVsLWhhbWFzLXdhcg?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/l-Ps9rkWuApN8G3MB5uZC_a5G7iKCTITjMdpZFhm2rQf3U2M2Yr_KTYpzpmOPxDiUKgb9yN9ha8=s0-h14-rp,Al Jazeera English,,2023-10-18 11:38:21.826057
Brennan makes statement on Israel-Hamas War,,21 hours ago,2023-10-17 14:38:24.118942,news.google.com/./articles/CBMiIWh0dHBzOi8vd3ZtZXRyb25ld3MuY29tLz9wPTUzODQzM9IBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://wvmetronews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",West Virginia MetroNews,,2023-10-18 11:38:21.826057
CWU grad in Israel sharing his story of war,,21 hours ago,2023-10-17 14:38:24.117939,news.google.com/./articles/CBMifmh0dHBzOi8vd3d3Lm5iY3JpZ2h0bm93LmNvbS9uZXdzL2N3dS1ncmFkLWluLWlzcmFlbC1zaGFyaW5nLWhpcy1zdG9yeS1vZi13YXIvYXJ0aWNsZV84NTAyZGMwNi02ZDEwLTExZWUtYWEyZC1mZjM0NzUwZmE2NTIuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.nbcrightnow.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",NBC Right Now,,2023-10-18 11:38:21.826057
Israel-Hamas War Adds to Surge in Global Weapons Sales,,21 hours ago,2023-10-17 14:38:24.117939,news.google.com/./articles/CBMiUWh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjMvMTAvMTcvdXMvcG9saXRpY3MvaXNyYWVsLWdhemEtZ2xvYmFsLWFybXMtc2FsZXMuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/tDFSwtr61ZReDD_jw6kEPWegHMSqGEHx-ZS_t-e10We-GfWEPVYkn0uLk_Vn8XQHg8wcnhMWmug=s0-h14-rp,The New York Times,,2023-10-18 11:38:21.826057
Why Fed officials aren't addressing the Israel-Hamas war the way ...,,21 hours ago,2023-10-17 14:38:24.107940,news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8xMC8xNy9lY29ub215L2lzcmFlbC1oYW1hcy13YXItZmVkZXJhbC1yZXNlcnZlL2luZGV4Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/8zdvTbISHUn-4iHkauW-_yQSGPD9BMrx9EWfqTIhiVm2YMYqhHC1HJWNDQoSOkMk0MRPYKxjIg=s0-h14-rp,CNN,,2023-10-18 11:38:21.826057
The War on Gaza: Deterrence or Inching toward Direct US ...,,21 hours ago,2023-10-17 14:38:24.105939,news.google.com/./articles/CBMiZWh0dHBzOi8vYXJhYmNlbnRlcmRjLm9yZy9yZXNvdXJjZS90aGUtd2FyLW9uLWdhemEtZGV0ZXJyZW5jZS1vci1pbmNoaW5nLXRvd2FyZC1kaXJlY3QtdXMtaW52b2x2ZW1lbnQv0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/9XGLJPYPU9lIIBDbDwBf-ogorQ9AMMM2ytC6WQ1azA59LiiOgE1V2mJ1-dplLu2hv3vks7kzrw=s0-h14-rp,Arab Center Washington DC,,2023-10-18 11:38:21.826057
"What is the Rafah Crossing, Gazans' last hope to escape the war?",,22 hours ago,2023-10-17 13:38:24.128939,news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8xMC8xNy9taWRkbGVlYXN0L3JhZmFoLWJvcmRlci1jcm9zc2luZy1nYXphLWlzcmFlbC1leHBsYWluZWQtaW50bC9pbmRleC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/8zdvTbISHUn-4iHkauW-_yQSGPD9BMrx9EWfqTIhiVm2YMYqhHC1HJWNDQoSOkMk0MRPYKxjIg=s0-h14-rp,CNN,,2023-10-18 11:38:21.826057
Israel-Hamas War: Markets aren't pricing in level of danger - Michael ...,,22 hours ago,2023-10-17 13:38:24.128939,news.google.com/./articles/CBMikwFodHRwczovL3d3dy5raXRjby5jb20vbmV3cy92aWRlby9zaG93L01hcmtldC1BbmFseXNpcy80Njg5LzIwMjMtMTAtMTcvSXNyYWVsLUhhbWFzLVdhci1NYXJrZXRzLWFyZW50LXByaWNpbmctaW4tbGV2ZWwtb2YtZGFuZ2VyLS0tTWljaGFlbC1XaWxrZXJzb27SAQA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.kitco.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Kitco NEWS,,2023-10-18 11:38:21.826057
The Palestinian Startup Ecosystem Has Represented Economic ...,,22 hours ago,2023-10-17 13:38:24.122940,news.google.com/./articles/CBMihQFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL3NhcmFoZW1lcnNvbi8yMDIzLzEwLzE3L3BhbGVzdGluZXMtc3RhcnR1cC1lY29zeXN0ZW0taGFzLXJlcHJlc2VudGVkLWVjb25vbWljLWhvcGUtd2FyLWlzLWRlY2ltYXRpbmctaXQv0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/NIjzR9QHtZJllEvJIVkODXFQ7_rbx1BMBXx2rNUbttjuu9YWLIp2_juQaI9jJ2rDtzi6snbZ=s0-h14-rp,Forbes,,2023-10-18 11:38:21.826057
