title,desc,date,datetime,link,img,media,site,log_date
How women in Israel and Palestine are pushing for peace — together,,4 hours ago,2023-10-17 17:32:44.146096,news.google.com/./articles/CBMiY2h0dHBzOi8vdGhlY29udmVyc2F0aW9uLmNvbS9ob3ctd29tZW4taW4taXNyYWVsLWFuZC1wYWxlc3RpbmUtYXJlLXB1c2hpbmctZm9yLXBlYWNlLXRvZ2V0aGVyLTIxNTc4M9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/upMolb71h9WLsTXgTUx4w8IL2K5lEpfkWwnaVUDL5ZAMiVZS1Nm74IMbnbRnuZx7Hoy96i0gRQ=s0-h14-rp,The Conversation Indonesia,,2023-10-17 21:32:42.338563
Hilton Hotels Pressured to Cancel Pro-Palestinian Conference,,5 hours ago,2023-10-17 16:32:44.147095,news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3Lm5ld3N3ZWVrLmNvbS9oaWx0b24taG90ZWwtZmFjZXMtcHJlc3N1cmUtY2FuY2VsLXByby1wYWxlc3RpbmUtY29uZmVyZW5jZS0xODM1NTE10gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/eLLZm4U3hIKCd3_vry68fnVBy2-w_9ykOTPTNkXghoQbO96GNDa755h0Y1BVIQGjE-bkVovxqk8=s0-h14-rp,Newsweek,,2023-10-17 21:32:42.338563
Tara Strong Removed from Animated Series Boxtown After ...,,5 hours ago,2023-10-17 16:32:44.146096,news.google.com/./articles/CBMieWh0dHBzOi8vd3d3Lmlnbi5jb20vYXJ0aWNsZXMvdGFyYS1zdHJvbmctcmVtb3ZlZC1mcm9tLWFuaW1hdGVkLXNlcmllcy1ib3h0b3duLWFmdGVyLWNvbnRyb3ZlcnNpYWwtaXNyYWVsLXBhbGVzdGluZS10d2VldHPSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/JzIjfJdTnXKNy_r1LpAEdDziuI76cUWAkpJlNRU8S6Qu89pU_KvkskqSGnVPWvCLlW5ZUsEYTgo=s0-h14-rp,IGN,,2023-10-17 21:32:42.338563
Wisconsin-Based Coalition for Justice in Palestine: Calls for an end ...,,5 hours ago,2023-10-17 16:32:44.136587,news.google.com/./articles/CBMi5gFodHRwczovL3d3dy53aXNwb2xpdGljcy5jb20vMjAyMy93aXNjb25zaW4tYmFzZWQtY29hbGl0aW9uLWZvci1qdXN0aWNlLWluLXBhbGVzdGluZS1jYWxscy1mb3ItYW4tZW5kLXRvLWludGltaWRhdGlvbi1hbmQtYnVsbHlpbmctb2YtZGVtb2NyYXRpY2FsbHktZWxlY3RlZC1vZmZpY2lhbHMtY2FsbGluZy1mb3ItYS1mYWlyLXJlc29sdXRpb24tZnJvbS10aGUtd2lzY29uc2luLXN0YXRlLWFzc2VtYmx5L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.wispolitics.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",WisPolitics.com,,2023-10-17 21:32:42.338563
"The long, complicated history of Black solidarity with Palestinians ...",,5 hours ago,2023-10-17 16:32:44.131216,news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LnZveC5jb20vMjAyMy8xMC8xNy8yMzkxODY4OS9ibGFjay1wYWxlc3Rpbmlhbi1zb2xpZGFyaXR5LWpld2lzaC1hbGxpYW5jZS1pc3JhZWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/Gg0cXcWKtjEfM_QT3nCzDrPhDP6mq4HDLESLpJJP2AeDzEFwctQi5h-EMSQk6wKta3PfaLz1bzU=s0-h14-rp,Vox.com,,2023-10-17 21:32:42.338563
Jordan to host summit between Biden and Egyptian and Palestinian ...,,6 hours ago,2023-10-17 15:32:44.153095,news.google.com/./articles/CBMic2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL2pvcmRhbi1ob3N0LXN1bW1pdC1iZXR3ZWVuLWJpZGVuLWVneXB0aWFuLXBhbGVzdGluaWFuLWxlYWRlcnMtc3RhdGUtbWVkaWEtMjAyMy0xMC0xNy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Reuters,,2023-10-17 21:32:42.338563
Iran’s Khamenei demands Israel stop bombardment of Gaza,,6 hours ago,2023-10-17 15:32:44.144095,news.google.com/./articles/CBMic2h0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy8yMDIzLzEwLzE3L2lyYW5zLWtoYW1lbmVpLXdhcm5zLWlzcmFlbC10aGF0LWJvbWJhcmRtZW50LW9mLWdhemEtY291bGQtYnJpbmctcmVzcG9uc2XSAXdodHRwczovL3d3dy5hbGphemVlcmEuY29tL2FtcC9uZXdzLzIwMjMvMTAvMTcvaXJhbnMta2hhbWVuZWktd2FybnMtaXNyYWVsLXRoYXQtYm9tYmFyZG1lbnQtb2YtZ2F6YS1jb3VsZC1icmluZy1yZXNwb25zZQ?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/l-Ps9rkWuApN8G3MB5uZC_a5G7iKCTITjMdpZFhm2rQf3U2M2Yr_KTYpzpmOPxDiUKgb9yN9ha8=s0-h14-rp,Al Jazeera English,,2023-10-17 21:32:42.338563
"""US A Shining Example Of Doublespeak"": Palestine Leader To NDTV On Gaza",,6 hours ago,2023-10-17 15:32:44.137091,news.google.com/./articles/CBMimAFodHRwczovL3d3dy5uZHR2LmNvbS93b3JsZC1uZXdzL2lzcmFlbC13b250LWFsbG93LWdhemFucy10by1yZXR1cm4taWYtdGhleS1nby10by1lZ3lwdC13aWxsLWJlLXNhbWUtYXMtZXRobmljLWNsZWFuc2luZy1wYWxlc3RpbmUtbGVhZGVyLXRvLW5kdHYtNDQ5MDI2M9IBngFodHRwczovL3d3dy5uZHR2LmNvbS93b3JsZC1uZXdzL2lzcmFlbC13b250LWFsbG93LWdhemFucy10by1yZXR1cm4taWYtdGhleS1nby10by1lZ3lwdC13aWxsLWJlLXNhbWUtYXMtZXRobmljLWNsZWFuc2luZy1wYWxlc3RpbmUtbGVhZGVyLXRvLW5kdHYtNDQ5MDI2My9hbXAvMQ?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/tdxgqIuMCdYXjnxBEi-22G1al2_n0slQR4vppoxUyB3fupq2sPqxL3okZNKW_QWJrymCWx6k_g=s0-h14-rp,NDTV,,2023-10-17 21:32:42.338563
Israel-Palestine War: Gaza under siege as casualties mount,,6 hours ago,2023-10-17 15:32:44.136587,news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3LnVzY2FubmVuYmVyZ21lZGlhLmNvbS8yMDIzLzEwLzE3L2lzcmFlbC1wYWxlc3RpbmUtd2FyLWdhemEtdW5kZXItc2llZ2UtYXMtY2FzdWFsdGllcy1tb3VudC_SAQA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.uscannenbergmedia.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",uscannenbergmedia.com,,2023-10-17 21:32:42.338563
Twitch Star Hasan Piker Raises A Huge Amount Of Money For ...,,6 hours ago,2023-10-17 15:32:44.135966,news.google.com/./articles/CBMiVGh0dHBzOi8va290YWt1LmNvbS9oYXNhbi1oYXNhbmFiaS1waWtlci1wYWxlc3RpbmUtaXNyYWVsLWdhemEtd2FyLWNoYXJpdHktMTg1MDkzNDU1N9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/420VmP-Z_BbCvosw6Ed6XdQE6AMtkDdCtrBNYyTK0XqsNed9vLgo8qH6MgCYxvBtRZMWI3Qr=s0-h14-rp,Kotaku,,2023-10-17 21:32:42.338563
