title,desc,date,datetime,link,img,media,site,log_date,subject
Bezos' Blue Origin sees third executive departure amid restructuring,,2 days ago,2023-10-20 20:24:13.759196,news.google.com/./articles/CBMiiwFodHRwczovL3d3dy5yZXV0ZXJzLmNvbS9idXNpbmVzcy9hZXJvc3BhY2UtZGVmZW5zZS9iZXpvcy1ibHVlLW9yaWdpbi1zZWVzLXRoaXJkLWV4ZWN1dGl2ZS1kZXBhcnR1cmUtYW1pZC1pbnRlcm5hbC1yZXN0cnVjdHVyaW5nLTIwMjMtMTAtMjAv0gEA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Reuters,,1698017050.871637,aerospace
"Samvardhana Motherson announces series of acquisitions in aerospace, health & medical businesses",,2 days ago,2023-10-20 20:24:13.758197,news.google.com/./articles/CBMilgFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvYnVzaW5lc3Mvc2FtdmFyZGhhbmEtbW90aGVyc29uLWFubm91bmNlcy1zZXJpZXMtb2YtYWNxdWlzaXRpb25zLWluLWFlcm9zcGFjZS1oZWFsdGgtbWVkaWNhbC1idXNpbmVzc2VzLTExNTcyNjcxLmh0bWzSAZoBaHR0cHM6Ly93d3cubW9uZXljb250cm9sLmNvbS9uZXdzL2J1c2luZXNzL3NhbXZhcmRoYW5hLW1vdGhlcnNvbi1hbm5vdW5jZXMtc2VyaWVzLW9mLWFjcXVpc2l0aW9ucy1pbi1hZXJvc3BhY2UtaGVhbHRoLW1lZGljYWwtYnVzaW5lc3Nlcy0xMTU3MjY3MS5odG1sL2FtcA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/DC7IFBJeW5TESrGtMlV8AV2h5YXShamGdGyp6iIFS-UKB1ZSm2DgqqLOVkHu2PTKdtabeV_bbQ=s0-h14-rp,Moneycontrol,,1698017050.871637,aerospace
"CT National Guard breaks ground on $22M Bradley facility, set to ...",,2 days ago,2023-10-20 20:24:13.755205,news.google.com/./articles/CBMia2h0dHBzOi8vd3d3LmN0aW5zaWRlci5jb20vam91cm5hbGlucXVpcmVyL2FydGljbGUvY3QtbmF0aW9uYWwtZ3VhcmQtYnJhZGxleS1hZXJvc3BhY2UtZmFjaWxpdHktMTg0Mzc1NjQucGhw0gEA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.ctinsider.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",CT Insider,,1698017050.871637,aerospace
Aiming for the Stars: Aerospace Engineering Student Meets NASA ...,,2 days ago,2023-10-20 20:24:13.754200,news.google.com/./articles/CBMicWh0dHBzOi8vbmV3cy5zeXIuZWR1L2Jsb2cvMjAyMy8xMC8yMC9haW1pbmctZm9yLXRoZS1zdGFycy1hZXJvc3BhY2UtZW5naW5lZXJpbmctc3R1ZGVudC1tZWV0cy1uYXNhLWFkbWluaXN0cmF0b3Iv0gEA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://news.syr.edu&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Syracuse University News,,1698017050.871637,aerospace
Aerospace Tech Company Skyryse Takes Engineering Team to ...,,3 days ago,2023-10-19 20:24:13.767195,news.google.com/./articles/CBMiYmh0dHBzOi8vYnVpbHRpbi5jb20vYnJhbmQtc3R1ZGlvL2Flcm9zcGFjZS10ZWNoLWNvbXBhbnktc2t5cnlzZS10YWtlcy1lbmdpbmVlcmluZy10ZWFtLW5ldy1oZWlnaHRz0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/wi2_8HTT_Iwvepp4IeH28s5UhbHkOHTB4zewulPvBxAHaX1xIlT_lVxjohXw3vkjQccDsZwZbPI=s0-h14-rp,Built In,,1698017050.871637,aerospace
Aerospace logistics leader B&H Worldwide plants over 100000 trees ...,,3 days ago,2023-10-19 20:24:13.766196,news.google.com/./articles/CBMicWh0dHBzOi8vd3d3LmFqb3QuY29tL25ld3MvYWVyb3NwYWNlLWxvZ2lzdGljcy1sZWFkZXItYmgtd29ybGR3aWRlLXBsYW50cy1vdmVyLTEwMDAwMC10cmVlcy1pbi1zdXN0YWluYWJpbGl0eS1wdXNo0gEA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.ajot.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",American Journal of Transportation,,1698017050.871637,aerospace
PRI joins EU project to bridge skills gap in aerospace,,3 days ago,2023-10-19 20:24:13.765204,news.google.com/./articles/CBMiT2h0dHBzOi8vd3d3LmFlcm8tbWFnLmNvbS9wcmktam9pbnMtZXUtcHJvamVjdC10by1icmlkZ2Utc2tpbGxzLWdhcC1pbi1hZXJvc3BhY2XSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/Kr1SwIOTFYnnPYd6k3g2E1DBVrkuzOSq7iZywSeMk8htgFqJ-Ez987LlqFmErhgiYAWvJ_CqeqY=s0-h14-rp,Aerospace Manufacturing,,1698017050.871637,aerospace
Lockheed Martin Announces MoU With Kencoa Aerospace ...,,3 days ago,2023-10-19 20:24:13.764194,news.google.com/./articles/CBMiowFodHRwczovL25ld3MubG9ja2hlZWRtYXJ0aW4uY29tLzIwMjMtMTAtMTktTG9ja2hlZWQtTWFydGluLUFubm91bmNlcy1Nb1Utd2l0aC1LZW5jb2EtQWVyb3NwYWNlLUNvcnBvcmF0aW9uLXRvLVN1cHBvcnQtdGhlLUMtMTMwSi1TdXBlci1IZXJjdWxlcy1HbG9iYWwtU3VwcGx5LUNoYWlu0gEA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://news.lockheedmartin.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Media - Lockheed Martin - Releases,,1698017050.871637,aerospace
Young Mexicans bet on aerospace industry,,3 days ago,2023-10-19 20:24:13.764194,news.google.com/./articles/CBMiQGh0dHBzOi8vbWV4aWNvLW5vdy5jb20veW91bmctbWV4aWNhbnMtYmV0LW9uLWFlcm9zcGFjZS1pbmR1c3RyeS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://mexico-now.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",MEXICONOW,,1698017050.871637,aerospace
Should You Invest in the iShares U.S. Aerospace & Defense ETF ...,,3 days ago,2023-10-19 20:24:13.764194,news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvc2hvdWxkLXlvdS1pbnZlc3QtaW4tdGhlLWlzaGFyZXMtdS5zLi1hZXJvc3BhY2UtZGVmZW5zZS1ldGYtaXRhLTjSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/obUo_H0W5xK1zxQROoKjSILqoGF8_hB6luclCgcakg3Ar6w8bDlZxsX-wcgP0MowaQVShVUibg=s0-h14-rp,Nasdaq,,1698017050.871637,aerospace
